Name,Stars,Forks,Language,Domain
evil-icons/evil-icons,4226,187,Ruby,Non-web libraries and frameworks
tools/godep,4224,385,Go,Software tools
utom/sketch-measure,4223,354,HTML,Application software
josephg/ShareJS,4222,463,JavaScript,Web libraries and frameworks
JakeWharton/hugo,4222,375,Java,Non-web libraries and frameworks
JohnLangford/vowpal_wabbit,4220,1109,PostScript,Software tools
webpy/webpy,4219,1078,Python,Web libraries and frameworks
git-lfs/git-lfs,4218,641,Go,Software tools
youtube/vitess,4214,556,Go,Software tools
nlohmann/json,4211,661,C++,Non-web libraries and frameworks
sparklemotion/nokogiri,4211,586,Java,Non-web libraries and frameworks
sintaxi/harp,4208,278,JavaScript,Application software
philsquared/Catch,4207,612,C++,Non-web libraries and frameworks
hapijs/joi,4204,430,JavaScript,Web libraries and frameworks
thinkaurelius/titan,4202,874,Java,System software
jhollingworth/bootstrap-wysihtml5,4201,1052,JavaScript,Web libraries and frameworks
slim-template/slim,4200,374,Ruby,Non-web libraries and frameworks
liftoff/GateOne,4198,577,JavaScript,Application software
p-e-w/finalterm,4197,208,Vala,Application software
rauchg/slackin,4197,783,JavaScript,Software tools
81813780/AVLoadingIndicatorView,4196,962,Java,Non-web libraries and frameworks
aui/artTemplate,4193,1524,JavaScript,Web libraries and frameworks
Unknwon/the-way-to-go_ZH_CN,4192,1584,Go,Documentation
rendrjs/rendr,4192,341,JavaScript,Non-web libraries and frameworks
xmartlabs/XLForm,4189,726,Objective-C,Non-web libraries and frameworks
derbyjs/derby,4188,242,JavaScript,Web libraries and frameworks
OpenRefine/OpenRefine,4184,743,Java,Software tools
RubyLouvre/avalon,4183,1374,JavaScript,Web libraries and frameworks
brianc/node-postgres,4183,540,JavaScript,Non-web libraries and frameworks
you-dont-need/You-Dont-Need-Lodash-Underscore,4183,143,JavaScript,Documentation
akveo/ng2-admin,4180,1235,TypeScript,Web libraries and frameworks
krakenjs/kraken-js,4179,436,JavaScript,Web libraries and frameworks
bootflat/bootflat.github.io,4179,455,HTML,Web libraries and frameworks
claritylab/lucida,4178,776,Java,Software tools
facebook/rebound,4176,732,Java,Non-web libraries and frameworks
barryvdh/laravel-ide-helper,4176,462,PHP,Software tools
PaddlePaddle/Paddle,4173,1062,C++,Non-web libraries and frameworks
rmurphey/js-assessment,4173,1780,JavaScript,Web libraries and frameworks
draios/sysdig,4170,395,C++,Software tools
ElemeFE/mint-ui,4167,658,Vue,Web libraries and frameworks
aria2/aria2,4167,478,C++,Software tools
tholman/elevator.js,4167,426,JavaScript,Web libraries and frameworks
mist64/xhyve,4165,184,C,System software
apache/incubator-airflow,4164,1062,Python,Application software
metabase/metabase,4164,407,JavaScript,Software tools
adambard/learnxinyminutes-docs,4164,1577,JavaScript,Documentation
symless/synergy,4161,971,C,Application software
docker/dockercraft,4158,229,Lua,Software tools
go-lang-plugin-org/go-lang-idea-plugin,4158,494,Java,Software tools
mogujie/TeamTalk,4157,2301,Objective-C,Application software
Huddle/PhantomCSS,4157,225,JavaScript,Web libraries and frameworks
ngbp/ngbp,4155,1242,JavaScript,Web libraries and frameworks
mortenjust/androidtool-mac,4153,251,Swift,Application software
dropbox/pyston,4151,277,Python,Non-web libraries and frameworks
keeweb/keeweb,4148,273,JavaScript,Application software
jmechner/Prince-of-Persia-Apple-II,4148,478,Assembly,Application software
ddollar/foreman,4144,503,Ruby,Software tools
brave/browser-laptop,4143,491,JavaScript,Application software
aspnet/EntityFramework,4138,1220,C#,Non-web libraries and frameworks
IonicaBizau/git-stats,4137,94,JavaScript,Software tools
singwhatiwanna/dynamic-load-apk,4136,1752,Java,Non-web libraries and frameworks
tensorflow/playground,4133,655,TypeScript,Web libraries and frameworks
google/google-api-php-client,4127,2099,PHP,Web libraries and frameworks
lovell/sharp,4125,250,JavaScript,Web libraries and frameworks
riccardoscalco/textures,4124,183,CoffeeScript,Web libraries and frameworks
google/seesaw,4119,361,Go,System software
nomad/shenzhen,4117,469,Ruby,Software tools
AutoMapper/AutoMapper,4117,1070,C#,Non-web libraries and frameworks
google/yapf,4116,279,Python,Non-web libraries and frameworks
google/googletest,4114,1739,C++,Non-web libraries and frameworks
DevinVinson/WordPress-Plugin-Boilerplate,4111,1067,PHP,Web libraries and frameworks
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,4109,386,JavaScript,Application software
soffes/SAMKeychain,4107,752,Objective-C,Non-web libraries and frameworks
vigetlabs/gulp-starter,4100,705,JavaScript,Software tools
BlackrockDigital/startbootstrap-sb-admin-2,4099,2228,HTML,Web libraries and frameworks
moxiecode/plupload,4099,1108,JavaScript,Web libraries and frameworks
syntaxhighlighter/syntaxhighlighter,4098,1170,JavaScript,Web libraries and frameworks
tonsky/AnyBar,4097,109,Objective-C,Non-web libraries and frameworks
OnsenUI/OnsenUI,4094,562,JavaScript,Web libraries and frameworks
bespokejs/bespoke,4094,425,JavaScript,Web libraries and frameworks
ConnorAtherton/walkway,4094,217,JavaScript,Web libraries and frameworks
larsenwork/monoid,4093,88,Python,Web libraries and frameworks
date-fns/date-fns,4092,121,JavaScript,Web libraries and frameworks
fancyapps/fancyBox,4091,1129,JavaScript,Web libraries and frameworks
collinhundley/Swift-AI,4089,367,Swift,Non-web libraries and frameworks
angular-translate/angular-translate,4089,623,JavaScript,Web libraries and frameworks
mafintosh/peerflix,4089,541,JavaScript,Application software
ideawu/ssdb,4087,942,C++,System software
Trinea/android-common,4086,2602,Java,Documentation
Haneke/HanekeSwift,4086,505,Swift,Non-web libraries and frameworks
sandstorm-io/sandstorm,4086,391,JavaScript,Application software
uglide/RedisDesktopManager,4079,585,C++,Software tools
markdalgleish/stellar.js,4078,1259,JavaScript,Web libraries and frameworks
mathiasbynens/jquery-placeholder,4077,1461,JavaScript,Web libraries and frameworks
harelba/q,4075,190,Python,Non-web libraries and frameworks
BabylonJS/Babylon.js,4073,1030,TypeScript,Web libraries and frameworks
gaearon/redux-thunk,4065,190,JavaScript,Web libraries and frameworks
headjs/headjs,4064,382,JavaScript,Web libraries and frameworks
socketio/socket.io-client,4063,1540,JavaScript,Non-web libraries and frameworks
imulus/retinajs,4063,636,CSS,Web libraries and frameworks
codelucas/newspaper,4061,608,Python,Non-web libraries and frameworks
una/CSSgram,4061,373,HTML,Web libraries and frameworks
FriendsOfPHP/PHP-CS-Fixer,4060,609,PHP,Software tools
csswizardry/inuit.css,4058,512,CSS,Web libraries and frameworks
josdejong/mathjs,4058,435,JavaScript,Non-web libraries and frameworks
TalAter/UpUp,4056,179,JavaScript,Web libraries and frameworks
luis-almeida/unveil,4055,678,JavaScript,Web libraries and frameworks
google/brotli,4052,439,C,Non-web libraries and frameworks
cocos2d/cocos2d-objc,4051,1236,Objective-C,Non-web libraries and frameworks
airblade/vim-gitgutter,4050,160,VimL,Application software
jimhigson/oboe.js,4048,163,JavaScript,Web libraries and frameworks
styled-components/styled-components,4045,179,JavaScript,Web libraries and frameworks
jedi4ever/veewee,4044,838,Shell,Software tools
auth0/node-jsonwebtoken,4044,312,JavaScript,Web libraries and frameworks
Microsoft/Windows-universal-samples,4040,4172,JavaScript,Documentation
ankane/chartkick,4040,415,JavaScript,Web libraries and frameworks
MonoGame/MonoGame,4036,1892,C#,Non-web libraries and frameworks
magento/magento2,4036,2935,PHP,Documentation
jgamblin/Mirai-Source-Code,4035,2202,C,Documentation
facebook/facebook-android-sdk,4030,2335,Java,Non-web libraries and frameworks
nfarina/homebridge,4030,577,JavaScript,Non-web libraries and frameworks
Freeboard/freeboard,4030,736,JavaScript,Application software
stefanpenner/es6-promise,4028,298,JavaScript,Web libraries and frameworks
facebookarchive/huxley,4025,300,Python,Software tools
devinross/tapkulibrary,4021,724,Objective-C,Non-web libraries and frameworks
gsdios/SDAutoLayout,4018,1083,Objective-C,Non-web libraries and frameworks
nicklockwood/iRate,4016,698,Objective-C,Non-web libraries and frameworks
sofish/pen,4013,379,JavaScript,Web libraries and frameworks
Zizaco/entrust,4012,889,PHP,Non-web libraries and frameworks
jlongster/prettier,4010,90,JavaScript,Software tools
matz/streem,4009,235,C,System software
pedant/sweet-alert-dialog,4009,1256,Java,Non-web libraries and frameworks
mybatis/mybatis-3,4006,2963,Java,Non-web libraries and frameworks
openssl/openssl,4004,2153,C,Software tools
h5bp/mobile-boilerplate,4003,712,ApacheConf,Web libraries and frameworks
coolwanglu/vim.js,4003,249,C,Application software
andlabs/libui,4003,207,C,Non-web libraries and frameworks
hakimel/stroll.js,4000,757,HTML,Web libraries and frameworks
koush/AndroidAsync,3999,1103,Java,Non-web libraries and frameworks
pallets/click,3999,339,Python,Non-web libraries and frameworks
backup/backup,3998,520,Ruby,Software tools
thx/RAP,3997,1219,JavaScript,Web libraries and frameworks
sferik/t,3997,311,Ruby,Application software
tmux-plugins/tmux-resurrect,3997,120,Shell,Software tools
dtao/lazy.js,3995,223,JavaScript,Web libraries and frameworks
david-gpu/srez,3994,326,Python,Non-web libraries and frameworks
kickstarter/ios-oss,3993,475,Swift,Web libraries and frameworks
xtaci/kcptun,3992,785,Go,Web libraries and frameworks
addyosmani/critical,3992,136,JavaScript,Web libraries and frameworks
keithwhor/nodal,3991,213,JavaScript,Web libraries and frameworks
tangqiaoboy/iOSBlogCN,3989,1175,Python,Non-web libraries and frameworks
typicode/lowdb,3989,155,JavaScript,Non-web libraries and frameworks
yuantiku/YTKNetwork,3987,1170,Objective-C,Non-web libraries and frameworks
JakeWharton/NineOldAndroids,3986,1686,Java,Non-web libraries and frameworks
restsharp/RestSharp,3985,1352,C#,Web libraries and frameworks
openresty/lua-nginx-module,3985,925,C,Software tools
hongyangAndroid/AndroidAutoLayout,3985,1342,Java,Non-web libraries and frameworks
jazzband/django-debug-toolbar,3985,712,Python,Web libraries and frameworks
densitydesign/raw,3981,852,JavaScript,Web libraries and frameworks
wagtail/wagtail,3978,829,Python,Application software
crsmithdev/arrow,3977,323,Python,Non-web libraries and frameworks
tinymce/tinymce,3977,1159,JavaScript,Web libraries and frameworks
ansible/ansible-examples,3974,1699,Shell,Documentation
thoughtbot/neat,3974,407,CSS,Web libraries and frameworks
karpathy/neuraltalk,3970,953,Python,Non-web libraries and frameworks
sveltejs/svelte,3970,101,JavaScript,Web libraries and frameworks
Instagram/IGListKit,3970,284,Objective-C,Non-web libraries and frameworks
sentsin/layer,3969,1518,JavaScript,Web libraries and frameworks
koral--/android-gif-drawable,3969,1052,Java,Non-web libraries and frameworks
VPenkov/okayNav,3969,281,JavaScript,Web libraries and frameworks
rails-api/active_model_serializers,3969,1078,Ruby,Non-web libraries and frameworks
tgalal/yowsup,3968,1400,Python,Non-web libraries and frameworks
svgdotjs/svg.js,3967,555,JavaScript,Web libraries and frameworks
FormidableLabs/spectacle,3967,271,JavaScript,Web libraries and frameworks
drapergem/draper,3966,434,Ruby,Web libraries and frameworks
p8952/bocker,3965,288,Shell,Software tools
presidentbeef/brakeman,3965,380,Ruby,Software tools
skylot/jadx,3963,736,Java,Software tools
meanjs/mean,3963,1583,JavaScript,Web libraries and frameworks
realm/jazzy,3963,200,Ruby,Software tools
nasa/openmct,3962,321,JavaScript,Web libraries and frameworks
krisk/Fuse,3961,215,JavaScript,Web libraries and frameworks
jayphelps/git-blame-someone-else,3961,122,Shell,Software tools
timothycrosley/hug,3957,194,Python,Web libraries and frameworks
fog/fog,3957,1559,Ruby,Non-web libraries and frameworks
tgriesser/knex,3956,598,JavaScript,Non-web libraries and frameworks
olistic/warriorjs,3955,229,JavaScript,Web libraries and frameworks
MrSwitch/hello.js,3952,446,JavaScript,Web libraries and frameworks
substack/browserify-handbook,3952,268,JavaScript,Documentation
sharelatex/sharelatex,3948,468,CoffeeScript,Application software
jnunemaker/httparty,3948,664,Ruby,Web libraries and frameworks
auduno/clmtrackr,3943,732,JavaScript,Web libraries and frameworks
dropbox/lepton,3940,260,C++,Non-web libraries and frameworks
amark/gun,3940,196,JavaScript,System software
traex/RippleEffect,3938,996,Java,Non-web libraries and frameworks
binarylogic/authlogic,3938,554,Ruby,Web libraries and frameworks
kneath/kss,3936,282,Ruby,Documentation
pagekit/pagekit,3935,459,PHP,Application software
google/gumbo-parser,3933,530,HTML,Non-web libraries and frameworks
happyworm/jPlayer,3933,1267,JavaScript,Web libraries and frameworks
filamentgroup/loadCSS,3933,314,JavaScript,Web libraries and frameworks
John-Lluch/SWRevealViewController,3932,900,Objective-C,Non-web libraries and frameworks
RetroPie/RetroPie-Setup,3929,498,Shell,Software tools
overtrue/wechat,3928,1137,PHP,Web libraries and frameworks
acgotaku/BaiduExporter,3926,704,JavaScript,Web libraries and frameworks
basscss/basscss,3926,245,CSS,Web libraries and frameworks
mockito/mockito,3925,778,Java,Non-web libraries and frameworks
reverse-shell/routersploit,3921,478,Python,Software tools
winjs/winjs,3920,485,TypeScript,Web libraries and frameworks
sirupsen/logrus,3918,570,Go,Non-web libraries and frameworks
googlesamples/android-topeka,3916,910,Java,Application software
miloyip/rapidjson,3914,1155,C++,Non-web libraries and frameworks
yahoo/react-intl,3914,273,JavaScript,Web libraries and frameworks
mattt/FormatterKit,3914,451,Objective-C,Non-web libraries and frameworks
erikflowers/weather-icons,3911,411,CSS,Web libraries and frameworks
dinedal/textql,3911,126,Go,Non-web libraries and frameworks
radare/radare2,3911,846,C,Software tools
pagekit/vue-resource,3908,651,JavaScript,Web libraries and frameworks
ColinEberhardt/VCTransitionsLibrary,3906,572,Objective-C,Non-web libraries and frameworks
brettwooldridge/HikariCP,3905,576,Java,Non-web libraries and frameworks
jakiestfu/Medium.js,3905,363,JavaScript,Web libraries and frameworks
erusev/parsedown,3901,577,PHP,Web libraries and frameworks
krasimir/react-in-patterns,3901,152,JavaScript,Documentation
mbleigh/acts-as-taggable-on,3901,871,Ruby,Non-web libraries and frameworks
iBotPeaches/Apktool,3899,1280,Java,Non-web libraries and frameworks
robbiehanson/CocoaHTTPServer,3898,1047,Objective-C,Software tools
thoughtbot/dotfiles,3898,1281,Shell,Application software
visionmedia/debug,3898,380,JavaScript,Software tools
olivernn/lunr.js,3891,283,JavaScript,Non-web libraries and frameworks
donnemartin/awesome-aws,3889,263,Python,Documentation
vuejs/vue-router,3885,984,JavaScript,Web libraries and frameworks
visionmedia/move.js,3885,606,JavaScript,Web libraries and frameworks
aspnet/Mvc,3882,1551,C#,Web libraries and frameworks
fex-team/webuploader,3881,1404,JavaScript,Web libraries and frameworks
JetBrains/intellij-community,3881,1588,Java,Software tools
roboguice/roboguice,3880,937,Java,Non-web libraries and frameworks
pallets/jinja,3877,771,Python,Web libraries and frameworks
sosedoff/pgweb,3877,234,Go,Software tools
viljamis/responsive-nav.js,3874,651,JavaScript,Web libraries and frameworks
simeji/jid,3874,64,Go,Software tools
localtunnel/localtunnel,3871,293,JavaScript,Non-web libraries and frameworks
malsup/form,3870,1182,JavaScript,Web libraries and frameworks
kristopolous/BOOTSTRA.386,3870,201,HTML,Web libraries and frameworks
BBC-News/wraith,3867,259,Ruby,Non-web libraries and frameworks
Jasonette/JASONETTE-iOS,3865,164,Objective-C,Non-web libraries and frameworks
addyosmani/grunt-uncss,3862,185,HTML,Software tools
swagger-api/swagger-core,3861,1282,Java,Documentation
jhy/jsoup,3860,1173,Java,Non-web libraries and frameworks
Kotlin/anko,3860,262,Kotlin,Non-web libraries and frameworks
Swiip/generator-gulp-angular,3860,769,JavaScript,Software tools
apache/storm,3857,2906,Java,System software
luruke/barba.js,3856,178,JavaScript,Web libraries and frameworks
wulkano/kap,3856,138,JavaScript,Non-web libraries and frameworks
code4craft/webmagic,3854,2148,Java,Web libraries and frameworks
pkluz/PKRevealController,3853,729,Objective-C,Non-web libraries and frameworks
github/scientist,3852,101,Ruby,Web libraries and frameworks
lpereira/lwan,3849,462,C,System software
AllThingsSmitty/jquery-tips-everyone-should-know,3845,438,JavaScript,Documentation
storehouse/Advance,3845,224,Swift,Non-web libraries and frameworks
tgriesser/bookshelf,3845,331,JavaScript,Non-web libraries and frameworks
openalpr/openalpr,3842,895,C++,Software tools
workshopper/learnyounode,3842,1085,HTML,Documentation
ogaclejapan/SmartTabLayout,3841,856,Java,Non-web libraries and frameworks
makeusabrew/bootbox,3839,858,JavaScript,Web libraries and frameworks
valyala/fasthttp,3839,336,Go,Web libraries and frameworks
duemunk/Async,3839,266,Swift,Non-web libraries and frameworks
react-native-community/react-native-elements,3838,259,JavaScript,Web libraries and frameworks
mholt/PapaParse,3838,435,JavaScript,Non-web libraries and frameworks
necolas/react-native-web,3837,254,JavaScript,Web libraries and frameworks
hashicorp/serf,3835,338,Go,Software tools
chrislusf/seaweedfs,3832,497,Go,Software tools
jonas/tig,3831,281,C,Software tools
es-analysis/plato,3831,248,JavaScript,Software tools
bkeepers/dotenv,3831,254,Ruby,Software tools
kelektiv/node-uuid,3827,327,JavaScript,Non-web libraries and frameworks
tweepy/tweepy,3826,1678,Python,Web libraries and frameworks
rengwuxian/MaterialEditText,3826,774,Java,Non-web libraries and frameworks
ChrisRM/material-theme-jetbrains,3826,214,Java,Software tools
aheckmann/gm,3826,391,JavaScript,Non-web libraries and frameworks
mozilla/nunjucks,3825,351,JavaScript,Web libraries and frameworks
daimajia/AndroidImageSlider,3820,1329,Java,Non-web libraries and frameworks
scribejava/scribejava,3819,1363,Java,Non-web libraries and frameworks
flutter/flutter,3817,413,Dart,Non-web libraries and frameworks
HubSpot/messenger,3815,404,JavaScript,Web libraries and frameworks
square/cube,3811,446,JavaScript,Non-web libraries and frameworks
coolbeet/CBStoreHouseRefreshControl,3810,550,Objective-C,Non-web libraries and frameworks
numpy/numpy,3810,1861,C,Non-web libraries and frameworks
jariz/vibrant.js,3809,146,JavaScript,Web libraries and frameworks
davidmerfield/randomColor,3809,240,HTML,Web libraries and frameworks
subtlepatterns/SubtlePatterns,3802,463,PHP,Documentation
lhc70000/iina,3801,206,Swift,Application software
SBoudrias/Inquirer.js,3800,278,JavaScript,Non-web libraries and frameworks
reactjs/react-rails,3798,401,JavaScript,Web libraries and frameworks
mrdoob/stats.js,3797,509,JavaScript,Web libraries and frameworks
vmg/redcarpet,3792,429,C,Web libraries and frameworks
soulmachine/leetcode,3788,1885,TeX,Documentation
JamesNK/Newtonsoft.Json,3787,1549,C#,Non-web libraries and frameworks
apidoc/apidoc,3784,729,JavaScript,Software tools
BBC-News/Imager.js,3783,221,JavaScript,Web libraries and frameworks
ikew0ng/SwipeBackLayout,3781,1203,Java,Non-web libraries and frameworks
dmytrodanylyk/circular-progress-button,3780,988,Java,Web libraries and frameworks
idiot/unslider,3779,1684,JavaScript,Web libraries and frameworks
WP-API/WP-API,3779,691,PHP,Web libraries and frameworks
srobbin/jquery-backstretch,3776,940,JavaScript,Web libraries and frameworks
zeman/perfmap,3776,138,JavaScript,Web libraries and frameworks
jikexueyuanwiki/tensorflow-zh,3772,1721,TeX,Documentation
miguel-perez/smoothState.js,3772,440,CSS,Web libraries and frameworks
PrismJS/prism,3772,505,JavaScript,Web libraries and frameworks
node-red/node-red,3770,920,JavaScript,Software tools
stig/json-framework,3764,779,Objective-C,Non-web libraries and frameworks
faye/faye,3764,340,JavaScript,Non-web libraries and frameworks
PokemonGoF/PokemonGo-Bot,3762,1758,Python,Application software
andlabs/ui,3762,262,Go,Non-web libraries and frameworks
erming/shout,3762,319,JavaScript,Application software
jgilfelt/SystemBarTint,3758,1088,Java,Non-web libraries and frameworks
hbons/SparkleShare,3755,521,C#,Application software
sferik/twitter,3755,981,Ruby,Web libraries and frameworks
LeadDyno/intercooler-js,3755,173,HTML,Web libraries and frameworks
MoOx/postcss-cssnext,3752,151,JavaScript,Software tools
benpickles/peity,3749,358,HTML,Web libraries and frameworks
TalAter/annyang,3748,569,JavaScript,Web libraries and frameworks
gravitational/teleport,3747,169,Go,Software tools
chaijs/chai,3745,338,JavaScript,Non-web libraries and frameworks
algolia/places,3744,128,JavaScript,Web libraries and frameworks
filp/whoops,3743,364,PHP,Software tools
nicolaiarocci/eve,3742,486,Python,Web libraries and frameworks
tweenjs/tween.js,3742,619,JavaScript,Web libraries and frameworks
mroth/lolcommits,3738,243,Ruby,Application software
OpenRA/OpenRA,3736,1235,C#,Non-web libraries and frameworks
Automattic/node-canvas,3735,560,C++,Web libraries and frameworks
puphpet/puphpet,3733,684,HTML,Software tools
Strider-CD/strider,3732,370,JavaScript,System software
sorich87/bootstrap-tour,3725,762,CoffeeScript,Documentation
bitwiseshiftleft/sjcl,3724,517,JavaScript,Non-web libraries and frameworks
Curzibn/Luban,3724,719,Java,Non-web libraries and frameworks
yixia/VitamioBundle,3722,1981,Java,Non-web libraries and frameworks
ninenines/cowboy,3722,778,Erlang,System software
stephencelis/SQLite.swift,3719,654,Swift,Non-web libraries and frameworks
mathjax/MathJax,3719,565,JavaScript,Web libraries and frameworks
rest-client/rest-client,3719,702,Ruby,Web libraries and frameworks
copy/v86,3718,315,JavaScript,Non-web libraries and frameworks
ltebean/LTNavigationBar,3715,602,Objective-C,Non-web libraries and frameworks
xhzengAIB/MessageDisplayKit,3713,1188,Objective-C,Application software
trentm/node-bunyan,3713,326,JavaScript,Non-web libraries and frameworks
ServiceStack/ServiceStack,3711,1363,C#,Web libraries and frameworks
Runscope/httpbin,3711,574,Python,Web libraries and frameworks
Jack000/Expose,3708,198,Perl,Documentation
butterproject/butter-desktop,3707,740,JavaScript,Application software
iron/iron,3706,272,Rust,Web libraries and frameworks
facebook/buck,3705,625,Java,Software tools
tc39/ecma262,3701,250,HTML,Documentation
danielzeller/Depth-LIB-Android-,3701,541,Java,Non-web libraries and frameworks
docker/machine,3699,1015,Go,Software tools
chrissimpkins/codeface,3699,289,Python,Documentation
mruby/mruby,3697,573,C,System software
fpillet/NSLogger,3696,470,Objective-C,Non-web libraries and frameworks
antoniolg/androidmvp,3695,1065,Java,Documentation
humhub/humhub,3693,1070,PHP,Application software
google/gxui,3692,245,Go,Non-web libraries and frameworks
Masterminds/glide,3692,221,Go,Software tools
sjwhitworth/golearn,3685,432,Go,Non-web libraries and frameworks
samyk/poisontap,3684,698,JavaScript,Software tools
Respect/Validation,3681,556,PHP,Non-web libraries and frameworks
theintern/intern,3681,278,JavaScript,Non-web libraries and frameworks
sweet-js/sweet.js,3680,195,JavaScript,Web libraries and frameworks
OwlCarousel2/OwlCarousel2,3679,1093,JavaScript,Web libraries and frameworks
isohuntto/openbay,3678,1045,PHP,Application software
phusion/passenger,3677,454,C++,Software tools
bundler/bundler,3677,1728,Ruby,Software tools
bebraw/jswiki,3676,264,JavaScript,Documentation
timuric/Content-generator-sketch-plugin,3674,303,JavaScript,Software tools
mamaral/Neon,3673,306,Swift,Non-web libraries and frameworks
syedhali/EZAudio,3672,607,Objective-C,Non-web libraries and frameworks
makovkastar/FloatingActionButton,3671,898,Java,Non-web libraries and frameworks
cruffenach/CRToast,3666,416,Objective-C,Non-web libraries and frameworks
dthree/vorpal,3665,125,JavaScript,Non-web libraries and frameworks
ssloy/tinyrenderer,3664,259,C++,Non-web libraries and frameworks
sj26/mailcatcher,3664,371,Ruby,Application software
humphd/have-fun-with-machine-learning,3661,254,Python,Documentation
kr/beanstalkd,3660,533,C,Non-web libraries and frameworks
reapp/reapp,3656,191,JavaScript,Software tools
os-js/OS.js,3654,480,JavaScript,Web libraries and frameworks
CodeboxIDE/codebox,3651,521,JavaScript,Software tools
walkor/Workerman,3649,1148,PHP,Web libraries and frameworks
wilsonpage/fastdom,3649,155,JavaScript,Non-web libraries and frameworks
oddbird/susy,3648,366,CSS,Web libraries and frameworks
tombenner/nui,3646,448,Objective-C,Non-web libraries and frameworks
mwaskom/seaborn,3646,538,Python,Non-web libraries and frameworks
ruanyf/webpack-demos,3644,1037,JavaScript,Documentation
facebook/componentkit,3642,401,Objective-C++,Non-web libraries and frameworks
julienXX/terminal-notifier,3640,220,Objective-C,Software tools
SocketCluster/socketcluster,3638,145,JavaScript,Non-web libraries and frameworks
notepad-plus-plus/notepad-plus-plus,3635,1188,C++,Application software
tessalt/echo-chamber-js,3633,97,JavaScript,Web libraries and frameworks
ipselon/structor,3632,204,JavaScript,Web libraries and frameworks
primer/octicons,3632,274,JavaScript,Web libraries and frameworks
kud1ing/awesome-rust,3628,236,Rust,Documentation
acaudwell/Gource,3628,339,C++,Software tools
pa7/heatmap.js,3626,773,JavaScript,Web libraries and frameworks
turbolinks/turbolinks-classic,3626,463,CoffeeScript,Web libraries and frameworks
fraywing/textAngular,3626,961,JavaScript,Web libraries and frameworks
balderdashy/waterline,3626,461,JavaScript,Non-web libraries and frameworks
acdlite/recompose,3626,215,JavaScript,Web libraries and frameworks
falconry/falcon,3625,411,Python,Web libraries and frameworks
amfe/lib-flexible,3621,1232,JavaScript,Web libraries and frameworks
sinonjs/sinon,3621,476,JavaScript,Web libraries and frameworks
patrickkunka/mixitup,3620,586,JavaScript,Web libraries and frameworks
snare/voltron,3619,205,Python,Non-web libraries and frameworks
zhukov/webogram,3617,1187,JavaScript,Application software
eclipse/che,3617,610,Java,Software tools
TrinityCore/TrinityCore,3615,3646,C++,Non-web libraries and frameworks
Microsoft/monaco-editor,3614,227,JavaScript,Web libraries and frameworks
idank/explainshell,3614,264,Python,Non-web libraries and frameworks
airbnb/aerosolve,3613,447,Java,Non-web libraries and frameworks
FormidableLabs/victory,3613,107,JavaScript,Web libraries and frameworks
forkingdog/FDFullscreenPopGesture,3612,784,Objective-C,Non-web libraries and frameworks
googlesamples/android-testing,3610,1175,Java,Documentation
matthew-andrews/isomorphic-fetch,3607,129,JavaScript,Web libraries and frameworks
jedisct1/libsodium,3606,506,C,Non-web libraries and frameworks
vfr/Reader,3605,1077,Objective-C,Application software
ImageOptim/ImageOptim,3605,189,HTML,Application software
elastic/beats,3601,749,Go,Web libraries and frameworks
sameersbn/docker-gitlab,3600,853,Shell,System software
felixge/node-style-guide,3600,772,JavaScript,Documentation
Yalantis/Side-Menu.Android,3598,1251,Java,Non-web libraries and frameworks
Varying-Vagrant-Vagrants/VVV,3597,695,Shell,Software tools
ianyh/Amethyst,3594,139,Swift,Non-web libraries and frameworks
qunitjs/qunit,3593,736,JavaScript,Non-web libraries and frameworks
stripe/jquery.payment,3593,614,CoffeeScript,Web libraries and frameworks
mattboldt/typed.js,3593,687,JavaScript,Web libraries and frameworks
driftyco/ng-cordova,3591,1140,JavaScript,Web libraries and frameworks
prerender/prerender,3590,526,JavaScript,Software tools
TTimo/doom3.gpl,3588,1221,C++,Application software
tholman/zenpen,3587,421,JavaScript,Application software
callmecavs/bricks.js,3587,149,JavaScript,Web libraries and frameworks
Jawbone/JBChartView,3586,451,Objective-C,Non-web libraries and frameworks
schollz/find,3585,190,Go,Application software
stevenwanderski/bxslider-4,3581,1605,JavaScript,Web libraries and frameworks
adrai/flowchart.js,3580,460,JavaScript,Web libraries and frameworks
oblador/react-native-vector-icons,3580,392,JavaScript,Web libraries and frameworks
raulriera/TextFieldEffects,3577,373,Swift,Non-web libraries and frameworks
vinc3m1/RoundedImageView,3576,931,Java,Non-web libraries and frameworks
CSSLint/csslint,3576,429,JavaScript,Software tools
camwiegert/in-view,3575,133,JavaScript,Web libraries and frameworks
shu223/iOS-9-Sampler,3573,480,Swift,Documentation
cjb/GitTorrent,3572,177,JavaScript,Application software
amznlabs/amazon-dsstne,3570,562,C++,Non-web libraries and frameworks
wesbos/JavaScript30,3570,2243,HTML,Documentation
errbit/errbit,3570,904,Ruby,Non-web libraries and frameworks
mesos/chronos,3568,482,Scala,Application software
elm-lang/elm-compiler,3567,280,Haskell,Software tools
twigphp/Twig,3566,896,PHP,Web libraries and frameworks
lecho/hellocharts-android,3565,1047,Java,Non-web libraries and frameworks
amoffat/sh,3565,308,Python,Non-web libraries and frameworks
linkedin/hopscotch,3564,511,JavaScript,Web libraries and frameworks
nvie/rq,3562,707,Python,Non-web libraries and frameworks
