Name,Stars,Forks,Language,Domain
adam-p/markdown-here,17013,2792,JavaScript,Software tools
Polymer/polymer,16812,1680,HTML,Web libraries and frameworks
Unitech/pm2,16802,1300,JavaScript,Software tools
facebook/immutable-js,16801,883,JavaScript,Non-web libraries and frameworks
mozilla/pdf.js,16758,4011,JavaScript,Web libraries and frameworks
rs/SDWebImage,16708,4613,Objective-C,Web libraries and frameworks
Prinzhorn/skrollr,16645,3347,HTML,Web libraries and frameworks
plataformatec/devise,16478,3760,Ruby,Non-web libraries and frameworks
iluwatar/java-design-patterns,16472,5538,Java,Documentation
ReactiveCocoa/ReactiveCocoa,16425,3103,Swift,Non-web libraries and frameworks
balderdashy/sails,16341,1669,JavaScript,Web libraries and frameworks
nvie/gitflow,16339,1806,Shell,Software tools
numbbbbb/the-swift-programming-language-in-chinese,16338,4515,CSS,Documentation
justjavac/free-programming-books-zh_CN,16140,6648,JavaScript,Documentation
shadowsocks/shadowsocks,16017,9980,Python,Software tools
git/git,15988,9024,C,Software tools
scikit-learn/scikit-learn,15960,8917,Python,Non-web libraries and frameworks
mathiasbynens/dotfiles,15819,5877,Shell,Software tools
yahoo/pure,15801,1851,HTML,Web libraries and frameworks
zenorocha/clipboard.js,15750,1152,JavaScript,Web libraries and frameworks
ecomfe/echarts,15740,5404,JavaScript,Web libraries and frameworks
open-guides/og-aws,15722,989,Shell,Documentation
IanLunn/Hover,15616,3326,CSS,Web libraries and frameworks
google/web-starter-kit,15519,2653,HTML,Web libraries and frameworks
BVLC/caffe,15498,9584,C++,Non-web libraries and frameworks
cantino/huginn,15498,1689,Ruby,Software tools
hammerjs/hammer.js,15435,2230,JavaScript,Web libraries and frameworks
bevacqua/dragula,15188,991,JavaScript,Web libraries and frameworks
angular/material,15078,3220,JavaScript,Web libraries and frameworks
t4t5/sweetalert,15023,2001,JavaScript,Web libraries and frameworks
videojs/video.js,14950,4313,JavaScript,Web libraries and frameworks
bower/bower,14913,1952,JavaScript,Software tools
BradLarson/GPUImage,14789,3694,Objective-C,Non-web libraries and frameworks
syncthing/syncthing,14770,1152,Go,Software tools
usablica/intro.js,14748,1863,HTML,Web libraries and frameworks
nostra13/Android-Universal-Image-Loader,14746,6350,Java,Non-web libraries and frameworks
defunkt/jquery-pjax,14585,1831,JavaScript,Web libraries and frameworks
google/protobuf,14547,4403,C++,Non-web libraries and frameworks
spf13/hugo,14466,2159,Go,Application software
less/less.js,14386,3342,JavaScript,Web libraries and frameworks
almasaeed2010/AdminLTE,14382,5091,HTML,Web libraries and frameworks
vshatskyi/black-screen,14348,399,TypeScript,Software tools
zeit/hyper,14275,970,JavaScript,Application software
hexojs/hexo,14253,2204,JavaScript,Application software
facebook/hhvm,14224,2597,C++,System software
Reactive-Extensions/RxJS,14193,1585,JavaScript,Web libraries and frameworks
photonstorm/phaser,14181,4721,HTML,Web libraries and frameworks
ajaxorg/ace,14179,3358,JavaScript,Application software
SamyPesse/How-to-Make-a-Computer-Operating-System,14126,2468,C,Documentation
SnapKit/Masonry,14105,2755,Objective-C,Non-web libraries and frameworks
google/guava,14097,3379,Java,Non-web libraries and frameworks
GitbookIO/gitbook,14095,1741,JavaScript,Application software
grafana/grafana,14080,2215,Go,Web libraries and frameworks
JakeWharton/butterknife,14034,3027,Java,Non-web libraries and frameworks
serverless/serverless,14027,1198,JavaScript,Web libraries and frameworks
request/request,14006,1728,JavaScript,Non-web libraries and frameworks
ftlabs/fastclick,13981,2255,HTML,Web libraries and frameworks
mitchellh/vagrant,13914,2956,Ruby,Software tools
VundleVim/Vundle.vim,13845,1695,VimL,Software tools
astaxie/build-web-application-with-golang,13739,4449,Go,Documentation
angular-ui/bootstrap,13734,6992,JavaScript,Web libraries and frameworks
Kickball/awesome-selfhosted,13729,1026,JavaScript,Documentation
twitter/typeahead.js,13723,2779,JavaScript,Web libraries and frameworks
symfony/symfony,13693,5304,PHP,Web libraries and frameworks
bcit-ci/CodeIgniter,13671,6667,PHP,Web libraries and frameworks
jashkenas/coffeescript,13660,1869,CoffeeScript,System software
twbs/ratchet,13636,1449,CSS,Web libraries and frameworks
